publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2020p971694,earthquake,2020-12-25T12:39:04.598Z,2020-12-25T13:00:33.707Z,175.55767820,-39.28627014,1.06728141,2.00000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,6,6,7,0.01467995,140.76361080,0.46659500,0.00000000
2020p971608,earthquake,2020-12-25T11:53:08.367Z,2020-12-25T12:06:34.845Z,175.54173280,-39.27850723,0.82006531,5.00000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,6,6,5,0.01874000,213.41855240,0.30370905,0.00000000
2020p950398,earthquake,2020-12-17T15:32:23.718Z,2020-12-17T15:36:11.823Z,175.57266240,-39.27445602,0.89760726,4.40920734,M,,LOCSAT,confirmed,manual,iasp91,17,11,8,0.01075236,89.02682495,0.11626194,0.00000000
2020p867719,earthquake,2020-11-17T01:21:19.311Z,2020-11-17T01:56:51.513Z,175.56698610,-39.27886200,0.70717277,5.00000000,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,7,6,6,0.01168865,118.74191280,0.48625090,0.25716091
2020p770381,earthquake,2020-10-12T01:00:52.835Z,2020-10-12T01:10:51.739Z,175.55966190,-39.27803040,0.97010062,3.16968393,M,,LOCSAT,confirmed,manual,iasp91,7,5,5,0.01022132,143.38583370,0.14944905,0.00000000
2020p437510,earthquake,2020-06-10T21:05:58.635Z,2020-06-10T21:07:33.102Z,175.56239320,-39.28567505,1.13982451,3.87038279,M,,LOCSAT,confirmed,manual,iasp91,19,15,8,0.01732364,77.86041260,0.09876838,0.00000000
2020p405225,not locatable,2020-05-29T22:24:04.673Z,2020-05-29T22:34:01.293Z,175.59022520,-39.31404114,0.88428769,5.00000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,11,2,0.01422665,139.36898800,1.63960072,0.00000000
2020p382141,earthquake,2020-05-21T09:24:48.945Z,2020-05-21T09:33:14.744Z,175.51679990,-39.25571442,0.91228910,5.93119383,M,,LOCSAT,confirmed,manual,iasp91,16,13,1,0.02807630,184.04561040,0.16033585,0.00000000
2020p189473,earthquake,2020-03-11T02:31:47.370Z,2020-03-11T02:40:03.882Z,175.56176760,-39.26869202,0.45232211,3.97346711,M,,LOCSAT,confirmed,manual,iasp91,11,9,3,0.01534212,244.27185820,0.08566312,0.00000000
2020p178270,earthquake,2020-03-06T23:02:49.015Z,2020-03-07T00:19:24.518Z,175.58541870,-39.30577469,0.64199417,4.55630589,M,,LOCSAT,confirmed,manual,iasp91,14,9,7,0.11895777,100.62861630,0.14589417,0.00000000
2020p170347,earthquake,2020-03-04T00:41:50.074Z,2020-03-04T00:44:14.948Z,175.57917790,-39.29611206,0.70352493,5.75729847,M,,LOCSAT,confirmed,manual,iasp91,19,11,5,0.02448070,98.93709540,0.35212464,0.00000000
2020p141714,not locatable,2020-02-22T10:25:45.288Z,2020-02-22T10:37:06.122Z,175.56686400,-39.28310776,0.52599750,0.00000000,M,,LOCSAT,confirmed,manual,iasp91,4,4,3,0.01570166,135.33332060,0.03904553,0.00000000
2020p140903,not locatable,2020-02-22T03:13:36.000Z,2020-02-22T17:58:21.660Z,175.57000000,-39.30000000,0.84014435,0.00000000,M,,,confirmed,manual,,0,0,4,0.00000000,0.00000000,20.28591151,0.00000000
2020p140830,earthquake,2020-02-22T02:34:43.113Z,2020-02-22T02:40:11.438Z,175.55957030,-39.28786469,1.25869245,3.65912414,M,,LOCSAT,confirmed,manual,iasp91,24,20,10,0.01423898,72.78694153,0.11285716,0.00000000
2020p140640,not locatable,2020-02-22T00:53:52.516Z,2020-02-22T03:28:34.815Z,175.54870610,-39.28649139,1.63646632,0.00000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,15,7,0.03167640,201.41697690,1.18665992,0.00000000
2020p135515,earthquake,2020-02-20T03:22:36.005Z,2020-02-20T03:39:43.520Z,175.55050660,-39.28930664,0.78681945,4.37963677,M,,LOCSAT,confirmed,manual,iasp91,17,12,13,0.00972315,68.11648560,0.17173183,0.00000000
2020p044255,not locatable,2020-01-17T09:00:10.339Z,2020-01-17T09:31:42.991Z,175.58752940,-39.29282643,0.73883666,5.05859375,M,,NonLinLoc,confirmed,manual,nz3drx,16,16,8,0.01042342,103.04498240,0.47034863,0.00000000
2019p905732,earthquake,2019-12-02T02:54:52.425Z,2019-12-02T03:17:06.660Z,175.58047490,-39.29776382,0.17025143,5.00000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,8,7,1,0.03215591,178.22740170,0.32896575,0.00000000
2019p772371,earthquake,2019-10-13T18:40:06.826Z,2019-10-13T18:50:22.813Z,175.56875610,-39.27767563,0.18632191,4.39277840,M,,LOCSAT,confirmed,manual,iasp91,15,11,5,0.01119678,175.15019230,0.07486828,0.00000000
2019p705089,not locatable,2019-09-18T21:11:44.510Z,2019-09-18T23:06:09.369Z,175.55170250,-39.31111990,0.77881981,5.46875000,M,,NonLinLoc,preliminary,automatic,nz3drx,10,10,8,0.04122065,324.23326410,0.47102162,0.00000000
2019p595053,earthquake,2019-08-09T04:05:01.306Z,2019-08-09T04:27:46.182Z,175.56085210,-39.28430557,0.76343546,1.00000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,5,5,7,0.01767091,160.62067510,0.23828236,0.00000000
2019p488400,earthquake,2019-06-30T16:59:44.285Z,2019-06-30T17:02:51.183Z,175.55247500,-39.31954193,0.69902002,7.01041842,M,,LOCSAT,confirmed,manual,iasp91,18,16,10,0.02100992,125.73210140,0.18289935,0.00000000
2019p301636,earthquake,2019-04-22T14:31:56.545Z,2019-04-22T14:41:24.744Z,175.55691530,-39.26934433,0.98707346,5.00000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,12,12,7,0.00395106,154.42822270,0.42016483,0.00000000
2019p156582,earthquake,2019-02-27T22:27:20.129Z,2019-02-27T22:30:18.959Z,175.57804870,-39.27275848,0.91143872,3.48029590,M,,LOCSAT,confirmed,manual,iasp91,15,12,7,0.01271369,68.79348755,0.05510209,0.00000000
